id,averageRating,numVotes,titleType,startYear
779,6.7,9,movie,1962
780,5.4,10,movie,1932
781,5.9,9439,movie,2014
782,6.6,35,tvEpisode,2021
783,7.5,27,tvEpisode,2004
784,7.7,96,tvEpisode,2018
785,7.8,8,tvEpisode,1980
786,7.6,17,tvEpisode,2019
787,7.2,5,tvEpisode,2021
788,8.3,7,short,2017
789,4.1,349,movie,2016
790,6.2,7,tvEpisode,2006
791,6.4,55,movie,2015
792,7.0,87,tvEpisode,1991
793,7.2,90,tvEpisode,2013
794,7.4,10,tvEpisode,2018
795,7.0,7015,movie,2006
796,7.5,247,videoGame,2004
797,5.8,41,movie,1947
798,5.7,47,movie,1959
799,4.5,19,tvEpisode,2007
800,7.0,430,tvEpisode,1989
801,6.0,28,tvSeries,2008
802,3.7,62,movie,2020
803,1.1,466,movie,2014
804,8.3,26,tvEpisode,2005
805,10.0,6,tvEpisode,2002
806,7.6,1240,movie,2017
807,6.9,26,short,2009
808,8.8,9,tvEpisode,1981
809,5.2,408,movie,2008
810,9.2,17,short,2008
811,8.2,2853,tvEpisode,2006
812,6.6,8,video,2014
813,8.1,21,tvEpisode,2005
814,7.9,51,tvEpisode,1960
815,5.1,20,tvEpisode,2019
816,4.0,43,short,1967
817,6.7,21,movie,2002
818,5.8,6,tvEpisode,2013
819,3.0,21,tvSeries,2019
820,7.1,9,short,2010
821,7.3,21,video,2018
822,7.0,3064,movie,1978
823,6.2,34,movie,1975
824,3.9,11,movie,2018
825,7.4,14,video,2004
826,7.3,40,video,2002
827,7.5,602,tvEpisode,2003
828,8.1,448,tvEpisode,2005
829,5.6,28,tvEpisode,2018
830,8.8,6,short,2005
831,7.2,5,tvEpisode,1987
832,5.2,9,video,1993
833,6.4,34,tvSeries,1984
834,4.5,37,short,2004
835,3.6,25,movie,2007
836,5.5,20,movie,1995
837,5.7,401,movie,1963
838,7.0,11,short,2017
839,8.1,8,tvEpisode,2006
840,6.4,22,video,2018
841,6.8,18,tvMovie,1996
842,6.3,13,tvSeries,2008
843,5.5,10,tvEpisode,1980
844,7.6,209,tvEpisode,2005
845,6.4,20,movie,1958
846,6.9,7,tvEpisode,2019
847,8.1,8,short,1983
848,5.2,8,short,2015
849,8.6,8,movie,2017
850,8.4,40,tvEpisode,2016
851,6.0,81,movie,2007
852,7.4,54,tvEpisode,2015
853,6.6,183,movie,2017
854,3.6,5,short,2005
855,5.8,5,tvEpisode,2013
856,6.8,5,tvEpisode,2006
857,9.2,16,tvEpisode,2004
858,7.3,6,tvEpisode,1985
